GameplayConfigId,DigMapId,LevelDurationSeconds,InitialGraveCount,SpawnRate,GraveSpawnWeights
Dig_01,Ground_03,20,4,5;2,Q1;19|Q2;10|Q1;1
Dig_02,Ground_01,80,5,6;1,Q1;18|Q2;10|Q2;2
Dig_03,Ground_05,90,6,4;2,Q1;17|Q2;10|Q3;3
Dig_04,Ground_02,100,3,5;1,Q1;16|Q2;10|Q4;4
Dig_05,Ground_04,110,4,6;2,Q1;15|Q2;10|Q5;5
Dig_06,Ground_01,120,5,4;1,Q1;14|Q2;10|Q6;6
Dig_07,Ground_03,130,6,5;2,Q1;13|Q2;10|Q7;7
Dig_08,Ground_05,140,3,6;1,Q1;12|Q2;10|Q8;8
Dig_09,Ground_02,150,4,4;2,Q1;11|Q2;10|Q9;9
Dig_10,Ground_04,160,5,5;1,Q1;10|Q2;10|Q10;10
