BodyPartId,DisplayName,BodyLevel,BodySlot,RaceId,ControlPowerCost,SpiritCost,StatBonus,AutoConvert,Description,ArtAssetId,IsPrimaryHand,ClassRestrict,BodyPrimaryStat
BP_Head_Undead_0,亡灵头部,1,Head,Race_Undead,1,1,MaxHP_10|Strength_5|Agility_5|Intelligence_5,1,,Art_BP_Head_Undead_1,0,,Intelligence
BP_Torso_Undead_0,亡灵躯干,1,Torso,Race_Undead,1,1,MaxHP_10|Strength_5|Agility_5|Intelligence_5,1,,Art_BP_Torso_Undead_1,0,,Strength
BP_Arm_Undead_Warrior_0,亡灵手臂,1,Arm,Race_Undead,1,1,MaxHP_10|Strength_5|Agility_5|Intelligence_5,1,战士,Art_BP_Arm_Undead_Warrior,1,Class_BaseWarrior,Strength
BP_Arm_Undead_Archer_0,亡灵手臂,1,Arm,Race_Undead,1,1,MaxHP_10|Strength_5|Agility_5|Intelligence_5,1,射手,Art_BP_Arm_Undead_Archer,1,Class_BaseArcher,Agility
BP_Arm_Undead_Mage_0,亡灵手臂,1,Arm,Race_Undead,1,1,MaxHP_10|Strength_5|Agility_5|Intelligence_5,1,法师,Art_BP_Arm_Undead_Mage,1,Class_BaseMage,Intelligence
BP_Arm_Undead_Rogue_0,亡灵手臂,1,Arm,Race_Undead,1,1,MaxHP_10|Strength_5|Agility_5|Intelligence_5,1,刺客,Art_BP_Arm_Undead_Rogue,1,Class_BaseRogue,Agility
BP_Arm_Undead_0,亡灵手臂,1,Arm,Race_Undead,1,1,MaxHP_10|Strength_5|Agility_5|Intelligence_5,1,,Art_BP_Arm_Undead_1,0,,Agility
BP_Leg_Undead_0,亡灵腿部,1,Leg,Race_Undead,1,1,MaxHP_10|Strength_5|Agility_5|Intelligence_5,1,,Art_BP_Leg_Undead_1,0,,Strength
BP_Head_Undead_1,亡灵头部,2,Head,Race_Undead,1,1,MaxHP_20|Strength_10|Agility_10|Intelligence_10,1,,Art_BP_Head_Undead_1,0,,Intelligence
BP_Torso_Undead_1,亡灵躯干,2,Torso,Race_Undead,1,1,MaxHP_20|Strength_10|Agility_10|Intelligence_10,1,,Art_BP_Torso_Undead_1,0,,Strength
BP_Arm_Undead_Warrior,亡灵手臂,2,Arm,Race_Undead,1,1,MaxHP_20|Strength_10|Agility_10|Intelligence_10,1,战士,Art_BP_Arm_Undead_Warrior,1,Class_Warrior,Strength
BP_Arm_Undead_Archer,亡灵手臂,2,Arm,Race_Undead,1,1,MaxHP_20|Strength_10|Agility_10|Intelligence_10,1,射手,Art_BP_Arm_Undead_Archer,1,Class_Archer,Agility
BP_Arm_Undead_Mage,亡灵手臂,2,Arm,Race_Undead,1,1,MaxHP_20|Strength_10|Agility_10|Intelligence_10,1,法师,Art_BP_Arm_Undead_Mage,1,Class_Mage,Intelligence
BP_Arm_Undead_Rogue,亡灵手臂,2,Arm,Race_Undead,1,1,MaxHP_20|Strength_10|Agility_10|Intelligence_10,1,刺客,Art_BP_Arm_Undead_Rogue,1,Class_Rogue,Agility
BP_Arm_Undead_Guardian,亡灵手臂,3,Arm,Race_Undead,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,近卫,Art_BP_Arm_Undead_Guardian,1,Class_Guardian,Strength
BP_Arm_Undead_BombMaster,亡灵手臂,3,Arm,Race_Undead,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,炸弹师,Art_BP_Arm_Undead_BombMaster,1,Class_BombMaster,Agility
BP_Arm_Undead_IceMage,亡灵手臂,3,Arm,Race_Undead,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,冰法,Art_BP_Arm_Undead_IceMage,1,Class_IceMage,Intelligence
BP_Arm_Undead_Brawler,亡灵手臂,3,Arm,Race_Undead,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,格斗师,Art_BP_Arm_Undead_Brawler,1,Class_Brawler,Strength
BP_Arm_Undead_Berserker,亡灵手臂,3,Arm,Race_Undead,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,狂战士,Art_BP_Arm_Undead_Berserker,1,Class_Berserker,Strength
BP_Arm_Undead_Longbowman,亡灵手臂,3,Arm,Race_Undead,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,长弓手,Art_BP_Arm_Undead_Longbowman,1,Class_Longbowman,Agility
BP_Arm_Undead_FireMage,亡灵手臂,3,Arm,Race_Undead,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,火法,Art_BP_Arm_Undead_FireMage,1,Class_FireMage,Intelligence
BP_Arm_Undead_Shadowblade,亡灵手臂,3,Arm,Race_Undead,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,影刃,Art_BP_Arm_Undead_Shadowblade,1,Class_Shadowblade,Intelligence
BP_Arm_Angel_Paladin,天使手臂,4,Arm,Race_Angel,1,1,MaxHP_40|Strength_20|Agility_20|Intelligence_20,1,圣骑士,Art_BP_Arm_Angel_Paladin,1,Class_Paladin,Strength
BP_Arm_Demon_DarkMage,恶魔手臂,4,Arm,Race_Demon,1,1,MaxHP_40|Strength_20|Agility_20|Intelligence_20,1,暗黑法师,Art_BP_Arm_Demon_DarkMage,1,Class_DarkMage,Intelligence
BP_Arm_Undead_1,亡灵手臂,2,Arm,Race_Undead,1,1,MaxHP_20|Strength_10|Agility_10|Intelligence_10,1,,Art_BP_Arm_Undead_1,0,,Agility
BP_Leg_Undead_1,亡灵腿部,2,Leg,Race_Undead,1,1,MaxHP_20|Strength_10|Agility_10|Intelligence_10,1,,Art_BP_Leg_Undead_1,0,,Strength
BP_Head_Undead_2,亡灵头部,3,Head,Race_Undead,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Head_Undead_2,0,,Strength
BP_Torso_Undead_2,亡灵躯干,3,Torso,Race_Undead,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Torso_Undead_2,0,,Strength
BP_Arm_Undead_2,亡灵手臂,3,Arm,Race_Undead,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Arm_Undead_2,0,,Agility
BP_Leg_Undead_2,亡灵腿部,3,Leg,Race_Undead,1,1,MaxHP_30|Strength_15|Agility_15|Intelligence_15,1,,Art_BP_Leg_Undead_2,0,,Intelligence
BP_Head_Angel,天使头部,4,Head,Race_Angel,1,1,MaxHP_40|Strength_20|Agility_20|Intelligence_20,1,,Art_BP_Head_Angel,0,,Agility
BP_Torso_Angel,天使躯干,4,Torso,Race_Angel,1,1,MaxHP_40|Strength_20|Agility_20|Intelligence_20,1,,Art_BP_Torso_Angel,0,,Agility
BP_Arm_Angel,天使手臂,4,Arm,Race_Angel,1,1,MaxHP_40|Strength_20|Agility_20|Intelligence_20,1,,Art_BP_Arm_Angel,0,,Strength
BP_Leg_Angel,天使腿部,4,Leg,Race_Angel,1,1,MaxHP_40|Strength_20|Agility_20|Intelligence_20,1,,Art_BP_Leg_Angel,0,,Strength
BP_Head_Demon,恶魔头部,4,Head,Race_Demon,1,1,MaxHP_40|Strength_20|Agility_20|Intelligence_20,1,,Art_BP_Head_Demon,0,,Strength
BP_Torso_Demon,恶魔躯干,4,Torso,Race_Demon,1,1,MaxHP_40|Strength_20|Agility_20|Intelligence_20,1,,Art_BP_Torso_Demon,0,,Agility
BP_Arm_Demon,恶魔手臂,4,Arm,Race_Demon,1,1,MaxHP_40|Strength_20|Agility_20|Intelligence_20,1,,Art_BP_Arm_Demon,0,,Intelligence
BP_Leg_Demon,恶魔腿部,4,Leg,Race_Demon,1,1,MaxHP_40|Strength_20|Agility_20|Intelligence_20,1,,Art_BP_Leg_Demon,0,,Agility
